label,story,text
A1,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling us even on Sundays to talk about our homework. It's too much! I like having free time to play football with my friends. My best friend is Tom. He doesn't like football much, but he loves music. He plays guitar very well.

My family is big. I have two brothers and one sister. My big brother loves cooking. He makes delicious pizza. My little brother and sister are twins. They are very funny. We have a dog, too. His name is Max. Max is very playful and loves to run in the park.

I don't like studying on weekends. I prefer going out with my friends or watching TV. My favorite show is about adventures in space. It's very exciting!

Sometimes, my mom helps me with my homework. She is very smart. My dad doesn't help because he is always busy with work. But he takes us to the beach in the summer. I love swimming and building sandcastles.

I hope Professor Hernandez gives us less homework. I want to have more time to have fun and enjoy my hobbies."
A2,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling I hate Professor Hernandez! Me too! He keeps calling on me when I'm not ready. And it's not just me! He does this to everyone in the class. It's really unfair. But there's nothing we can do about it right now. We have to study hard for his tests because they are very difficult. Last week, I tried to ask him for help after class, and he was nice about it. So, maybe he's not all bad. We should give him a chance. Maybe we can go together next time and see if he can help us understand the material better. After all, we both need to pass this class."
C1,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling me out in class for the slightest mistakes while completely ignoring the valid points I make. It's as if he seeks to belittle our contributions, deliberately sidelining any insightful commentary we venture to add to the discussions. Notwithstanding his scholarly achievements, which I concede are plentiful, his pedagogical approach leaves much to be desired. His method, which he doubtless believes to be rigorous and formative, often comes across as nothing short of oppressive, stifling the very intellectual curiosity he purports to cultivate.

Furthermore, it is imperative to acknowledge the dichotomy that exists within the classroom environment he creates. On one hand, there is an undeniable depth to the material he presents, often compelling us to explore uncharted territories of thought and analysis. On the other hand, however, this potential for academic growth is invariably marred by his dismissive attitude. The atmosphere becomes one not of exploration and discovery, but of apprehension and self-doubt—a far cry from the ideal educational setting where open dialogue and mutual respect should prevail.

Additionally, one cannot overlook the clear disparity in treatment towards students, which often seems arbitrary and unjust. While it is natural for a degree of variability to manifest in any teaching approach, the extent to which Professor Hernandez's behavior fluctuates is baffling"
B1,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling on me to answer questions when he knows I haven't raised my hand. It's like he enjoys putting me on the spot. Anyway, Sarah chimed in, her voice filled with empathy, ""You're not alone in this; he does the same to me. It feels unfair.""

Changing the subject, I asked, ""Are we still meeting up to study for the test on Friday?"" Sarah nodded, ""Of course, we need all the help we can get. Let's meet at the library; it's quieter, and we'll focus better there.""

As the week passed, the thought of the upcoming test loomed over us. We spent hours at the library, poring over notes and textbooks. Despite the stress, I found comfort in the fact that I wasn't alone. Sarah and I were in this together, tackling one problem after another, breaking them down into manageable parts.

The day of the test finally arrived. Walking into the classroom, I could feel my heart pounding in my chest. Taking a deep breath, I tried to push away the nerves. ""We've prepared as much as we can,"" I reminded myself. Glancing over at Sarah, we exchanged a look of solidarity.

Professor Hernandez handed out the test papers, and the room fell silent"
B2,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling ""I hate Professor Hernandez!"" The frustration in Alex's voice was palpable as we sat in the dimly lit corner of the university cafe, our textbooks and laptops spread across the table like the remnants of a hard-fought battle. The atmosphere around us was a mix of despair and determination, typical of a mid-semester crisis.

""Me too!"" I echoed, tapping my pen against an open notebook filled with scribbled notes from our latest lecture. ""He keeps calling on me in class as if I have all the answers. It's like he's got some sort of radar for when I'm least prepared.""

Alex rolled his eyes, a gesture that spoke volumes of our shared ordeal. ""Not to mention the assignments he hands out. They're like puzzles within enigmas, wrapped in a mystery. How does he expect us to synthesize centuries of political theory into a 10-page paper?""

Sighing, I closed my laptop with a gentle snap. ""And yet, despite his Herculean expectations, I can't help but respect the man. It's clear he's passionate about his subject. If only he could impart his knowledge in a less... daunting manner.""

A moment of silence fell between us, each lost in thoughts of looming deadlines and the"
A2,"Social media, magazines and shop windows bombard people","Social media, magazines and shop windows bombard people with images of what the perfect body should look like. Many girls and boys look at these images and feel sad because they think they don't look like that. They start to believe they must change how they look to be happy or accepted. But, it's important to remember that these images are often not real. Photographers use special lighting and editing to make models look perfect.

One day, a girl named Mia saw a picture in a magazine and felt unhappy with her own image. She wanted to be like the model in the magazine. Mia decided she would try to change her eating habits and exercise more. However, she soon realized that it was not making her happier. In fact, she felt worse because she was always tired and couldn't enjoy her favorite foods with her friends.

Mia's best friend, Jake, noticed that Mia was not her usual happy self. He asked her what was wrong, and Mia told him everything. Jake told Mia that she was perfect just the way she was and that real beauty comes from being happy and healthy. He explained that everyone's body is different and that's what makes people special.

Mia felt relieved and happy to have such a good friend. She decided to stop comparing herself to the images in the magazines and on social media"
C2,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling upon antiquated notions that barely have relevance in today's academic landscape, yet presents them as if they were the gospel. Not only does he exhibit a flagrant disregard for the burgeoning perspectives that have begun to gain traction amongst the contemporary scholarly community, but he also unequivocally dismisses any form of critique or questioning of his established methodologies. It is as if he's ensconced within his own intellectual bastion, impervious to the dynamism and evolution that characterizes the very essence of academic inquiry.

Furthermore, his propensity to monopolize classroom discourse, leaving scant room for student engagement or intellectual exchange, has stymied the development of a robust, dialogic learning environment. Instead of fostering a space where ideas can be freely exchanged and debated, he wields his authority to quash dissenting opinions, effectively stifacing any spark of original thought or creativity among his pupils. This autocratic approach not only undermines the foundational principles of academic freedom but also engenders a climate of intellectual conformity, where students are incentivized to regurgitate his viewpoints rather than develop their own.

Moreover, his assessments are a perplexing amalgamation of arbitrary benchmarks and subjective criteria, devoid of any transparent or equitable standard. The capricious nature of his grading system has engendered"
A1,A baby has arms and legs. It has a mouth and eyes.,A baby has arms and legs. It has a mouth and eyes. The baby plays with toys. It likes soft toys. The baby laughs a lot. It sees its mother and smiles. The baby has a pet dog. The dog is small and white. The baby and the dog play together. The baby does not like loud noises. It cries when it hears them. The baby loves to eat apples. Apples are sweet. The baby has a big family. It has a brother and a sister. The brother is older. The sister is younger. They love the baby very much. The family is happy.
A2,A baby has arms and legs. It has a mouth and eyes.,"A baby has arms and legs. It has a mouth and eyes. A baby has arms and legs. It has a mouth and eyes. It can cry and smile, but it can't talk. The baby likes to play with toys, and it laughs when it's happy. It sleeps a lot because it's very young. Sometimes, the baby eats, but sometimes, it doesn't feel like eating. It has a teddy bear, and it holds it when it sleeps. The baby's family loves it very much, and they take care of it every day. They give it baths and feed it because they want it to grow strong and healthy. The baby is small now, but one day, it will walk and run."
B1,"Social media, magazines and shop windows bombard people","Social media, magazines and shop windows bombard people Social media, magazines, and shop windows bombard people with images of the latest fashion trends, cutting-edge gadgets, and must-have products. Walking through the city center, one can't help but notice the dazzling displays, each item calling out with the promise of enhancing your lifestyle or improving your appearance. As Emily strolled past the windows, her eyes were drawn to a stunning dress in royal blue, a color that she had always thought complemented her brown eyes and light skin perfectly.

Having seen the dress, Emily couldn't get it out of her mind. She had been saving money for a holiday, but the thought of owning the dress and the confidence it would give her was extremely tempting. She kept justifying the potential purchase by telling herself that she deserved a treat and that opportunities like this didn't come around often.

After much contemplation, Emily decided to enter the shop. The dress, even more beautiful up close, seemed to be calling her name. She asked the shop assistant for her size and headed to the fitting room. Slipping into the dress, she felt transformed; it fit her as though it had been made just for her. She looked at herself in the mirror, twirling around to see the dress from all angles, and couldn't suppress a smile of"
