label,story,text
A1,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling on us in class and we never know what he's going to ask. Last time, he asked me a question and I had no idea what he was talking about. I felt so embarrassed. 

Yes, it's really frustrating. But maybe we can learn some new words or phrases that might help us understand him better. For example, we could look up the meanings of new vocabulary words in our textbooks or use translation apps to help us understand. 

Or, perhaps we could try asking for clarification if we don't understand something. It might be scary at first, but Professor Hernandez will probably appreciate our effort to engage in class. 

What do you think, shall we make a list of new words and phrases we encounter during our classes and study them together during our breaks? 

That's a great idea! We can even make it a game to challenge each other with the new words. This way, we'll not only improve our English skills, but also make learning fun and entertaining. 

Yes, let's do that! Here's the list I started: 

1."
A2,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling on us randomly in class, and his questions are always so complicated. I can barely understand his lectures in English, let alone answer a question on the spot. 

I wish I could just blend into the background and go unnoticed. But when he calls on me, I always feel my heart pounding in my chest. I'm afraid of making a fool of myself in front of the whole class. 

But you know what? We can't let him win. We need to keep trying, even if we make mistakes. We're learning a new language, after all. 

So let's practice together. Let's try to answer some questions from the textbook, and maybe even share some funny mistakes we've made in class. That way, we can encourage each other and improve our English skills, one mistake at a time. 

Here's a question: What hobby did Jane like to do in the park? From the book ""Jane's English Class"" by Mary Ann Hoberman. 

Answer: Jane liked to feed the ducks in the park. 

Great job! I'll give you a thumbs up if you can say it out loud."
B1,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling on us randomly during classes and we're always so unprepared. It's really frustrating. I wish he would give us some notice before calling on us, that way we could study the material beforehand. 

Last week he called on me and I froze. I couldn't remember the answer to the question he asked. Everyone in the class looked at me, some with smirks on their faces. It was humiliating. 

I've started staying up late every night to review the material for our classes. I don't want that to happen again. I've also started asking questions in class when I don't understand something. I find that if I ask a question, I can learn something new from my classmates' answers. 

Do you have any study tips that have helped you prepare for Professor Hernandez's unpredictable questioning style? 

Personally, I find it helpful to take notes during lectures and go over them regularly. I also make flashcards with key terms and definitions. And I try to review the material right after class, while it's still fresh in my mind."
B2,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling on us randomly during his lectures and asking questions that we haven't covered in class yet. It's so frustrating. I mean, I understand that he wants to challenge us, but sometimes it feels like he's just trying to embarrass us in front of the whole class. 

I think we should talk to him about it. Maybe we can set up a meeting with him and express our concerns. I'm sure he'll listen to us and try to find a solution. After all, he wants us to succeed, right? 

But then again, what if he doesn't take us seriously? What if he brushes us off and continues with his teaching methods? That would be disappointing and demotivating. 

I guess we'll cross that bridge when we come to it. In the meantime, I suggest we review the material closely and prepare for his unexpected questions. That's the only way we can be ready for anything he throws at us. 

Do you think that's a good idea? Let me know what you think. 

I agree, reviewing the material is essential. Plus, it will give us confidence that we understand the concepts."
C1,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling on me in class, even when I'm not prepared. It's frustrating, especially when I know the answer but just can't seem to get it out in time. His questions are always complex and require deep understanding. I've tried asking for clarification, but he insists on pushing us to think critically and independently. Sometimes I think he enjoys watching us squirm. But deep down, I know he's trying to help us grow. 

Last week, we had a debate in class about the ethical implications of genetic engineering. I had prepared extensively for the topic, but during the debate, I found myself tongue-tied and unable to articulate my thoughts. Professor Hernandez called on me, and I froze. He gave me a stern look and reminded me of the importance of staying calm and collected under pressure. I took a deep breath and tried to gather my thoughts. In that moment, I realized that my fear of being wrong or looking foolish was holding me back. I began to speak confidently, presenting my arguments with clarity and conviction."
C2,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling on me in class to answer questions that I'm not prepared for. Yesterday, he asked about the intricacies of the past perfect continuous tense, and I was caught off guard. I could feel my face turning red as I struggled to come up with an answer. 
It's not just the unexpected questions that annoy me, though. He's always correcting our pronunciation, and it can be embarrassing when he points out our mistakes in front of the entire class. I try to practice my English as much as possible, but it seems that no matter how hard I work, I'm never good enough for him. 
Furthermore, he rarely provides any useful feedback or guidance. He just scowls at us when we make mistakes and moves on to the next topic. I've tried speaking with him after class to ask for advice, but he just brushes me off and tells me to read more. 
To be honest, I'm considering dropping his class. I'd rather take a less demanding one where I won't be made to feel like a failure every day. But I'd hate to give up on my goal of improving my English."
A1,"Social media, magazines and shop windows bombard people","Social media, magazines and shop windows bombard people with information about the latest fashion trends. Sometimes it's hard to keep up. But don't worry, I'll help you understand some popular styles for women and men this season. 

For women, a big trend is the revival of '70s fashion. This includes maxi skirts and dresses with bright prints and wide belts. Another popular style is the ""athleisure"" look. Women wear sporty clothes like leggings, sneakers, and cropped tops, even when they're not working out. This look is comfortable and practical. A third trend is minimalism. Women are choosing simple and elegant outfits in neutral colors like black, white, and beige. 

For men, denim is a key trend. Jeans and denim jackets are in fashion. Another trendy look for men is the ""smart casual"" style. This includes polo shirts, chinos, and oxford shoes. It's perfect for going out with friends or to work. A third trend is the ""streetwear"" look. Men are wearing oversized clothes, sneakers, and bold graphics. It's all about comfort, individuality, and expressing yourself."
A2,"Social media, magazines and shop windows bombard people","Social media, magazines and shop windows bombard people with information about the latest fashion trends. Some people love following these trends and will go to great lengths to keep up with the fashionable crowd. Others prefer to stick to their own personal style and not be influenced by what's trending. 

Let's imagine two friends, Maria and Ana. Maria is always the first to try out new fashion trends. She loves shopping in trendy stores and spends hours browsing social media to see what's popular. Every time she goes out, she wears the latest outfits. Her friend Ana, on the other hand, prefers to wear what makes her feel comfortable and confident. She has a unique style that sets her apart from the crowd. 

Fashion trends can be fun and exciting, but they can also put pressure on people. Some people might feel left out if they don't follow the latest trend. They might worry about what others think of them or feel that they don't fit in. It's important to remember that fashion is a personal expression, and everyone has the right to wear what makes them feel good."
B1,"Social media, magazines and shop windows bombard people","Social media, magazines and shop windows bombard people with information about the latest fashion trends every day. It's impossible to ignore the influence of fashion on our daily lives. Fashion is not only about wearing stylish clothes, but it also reflects our personality and expresses our identity. 

Some people prefer to follow the latest trends blindly, while others create their own unique style. Trends come and go, but the essence of personal style remains. When choosing clothes, many consider comfort first. Wearing ill-fitting clothes or something that does not suit one's body type can lead to discomfort and a lack of confidence. 

Accessories play an important role in completing an outfit. They add detail, color, and texture. A simple outfit can be transformed with the addition of a statement necklace, a pair of stylish shoes or a bold scarf. Accessories should complement the outfit and not overpower it. 

Seasons also influence fashion choices. In winter, people turn to thick coats, woolen scarves, and boots."
B2,"Social media, magazines and shop windows bombard people","Social media, magazines and shop windows bombard people with images of impeccably dressed models and celebrities. It's easy to feel self-conscious and pressured to conform to these unrealistic standards of beauty. However, embracing individuality and learning self-acceptance can lead to a more fulfilled life. 

First and foremost, it's essential to understand that beauty is subjective. Each person has unique physical features, talents, and qualities that make them beautiful in their own way. Comparing oneself to others can lead to feelings of inadequacy and low self-esteem. Rather than fixating on external appearances, focus on the inner qualities that truly make a person attractive. 

Self-acceptance is the key to feeling beautiful. Learning to accept and love oneself, flaws and all, is a crucial step towards feeling confident and attractive. Practice self-care, such as eating well, exercising regularly, and getting enough rest. Take time for relaxing hobbies and activities that bring joy and fulfillment. 

Additionally, it's essential to surround ourselves with positive influences."
C1,"Social media, magazines and shop windows bombard people","Social media, magazines and shop windows bombard people with information and advertisements about the latest fashion trends every day. It's impossible to deny that fashion is an integral part of modern life, influencing not only how we dress but also how we see ourselves and how we are perceived by others. Yet, fashion also raises numerous questions. Where does inspiration come from? Who sets the trends? And how do these trends influence society? 

The origins of fashion can be traced back to various sources. They include art movements, historical events, and cultural traditions. For instance, the roaring twenties were characterized by the flapper style, inspired by the social and political changes of the time. Similarly, the hippie movement of the late 1960s was reflected in the bell-bottom jeans and tie-dye shirts that became popular during that era. 

But where does the fashion industry get its inspiration today? Many designers look to the catwalks of New York, London, Milan, and Paris for inspiration. Fashion shows have become a major platform for introducing the latest collections and setting the trends for the upcoming season."
C2,"Social media, magazines and shop windows bombard people","Social media, magazines and shop windows bombard people with information about the latest fashion trends every day. While some individuals embrace new styles eagerly, others prefer to stick to classic pieces that never go out of fashion. In my opinion, both approaches have their own merits, and it ultimately comes down to personal preference and comfort. 

On the one hand, following the latest trends can bring a sense of excitement and freshness to one's wardrobe. When you wear something that is currently in vogue, you feel confident and stylish. Moreover, being up-to-date with fashion trends can open up new opportunities to express individuality and experiment with different looks. For instance, wearing bold prints or statement accessories may not be a common choice for everyone, but those who embrace trends often enjoy the attention and compliments that come with being ahead of the curve. 

On the other hand, relying on classic pieces can provide a sense of timelessness and versatility to one's wardrobe. Classic items like a tailored blazer, a little black dress, or a pair of jeans never go out of fashion."
A1,A baby has arms and legs. It has a mouth and eyes.,"A baby has arms and legs. It has a mouth and eyes. It can't talk yet, but it can cry when it's hungry or needs a diaper change. A baby needs milk from its mother or formula from a bottle to grow strong. It needs a cozy cot to sleep in and a warm blanket to keep it comfortable. A baby's day is filled with eating, sleeping, playing, and making cute faces. Parents love their babies very much and take care of them every day. 

A dog is a type of pet. It has fur that comes in many colors and sizes. Dogs have a tail that wags when they're happy. They bark when they're excited or see strangers. Dogs need food, water, and a place to sleep. They like to play fetch and go for walks with their owners. Dogs can bring joy and companionship to people of all ages. 

A house is a building where we live. It has rooms for sleeping, cooking, and relaxing. A house has a door and windows that let in light and fresh air. A house also has a roof to protect it from the rain and sun. Some houses have gardens where people can grow flowers and vegetables."
A2,A baby has arms and legs. It has a mouth and eyes.,"A baby has arms and legs. It has a mouth and eyes. A baby needs milk to grow. Milk comes from a cow or a goat. People buy milk in a shop. A mother feeds her baby with a bottle or a breast. The baby grows stronger every day. It learns to sit up, to crawl, and to stand. The baby talks first words. It is happy and plays with toys. A family takes care of the baby. They play with it, sing to it, read to it. The baby goes to kindergarten when it is older. It learns new things and makes friends. The baby is no longer a baby but a big kid. It goes to school and learns many new things. It grows up to be a man or a woman. They have a family of their own and take care of babies. The cycle continues. 

A dog is a pet animal. It has fur and a tail. Dogs bark and wag their tails when they are happy. They protect their owners and play with them. People take care of their dogs and give them food and water. Dogs need exercise and go for walks with their owners. They sleep in a bed or a kennel. Dogs can be trained to do tricks."
B1,A baby has arms and legs. It has a mouth and eyes.,"A baby has arms and legs. It has a mouth and eyes. It can't talk yet, but it can cry and make other sounds. The baby grows quickly. It needs milk from its mother or a bottle. The mother or caregiver changes its diaper and keeps it clean. The baby learns to smile and make facial expressions. When it gets older, it starts to crawl and then walk. 

A town is a place where people live. It has houses, shops, parks, and schools. There are streets and roads for cars and buses. People work in offices or factories. They go to the market to buy food and other things. In the evening, they go to the cinema or the theatre. 

A museum is a place where you can learn about history and art. There are many different kinds of museums, such as art museums, natural history museums, and science museums. You can see paintings, sculptures, fossils, and other interesting things. There are often guides who tell you interesting stories about the exhibits. Museums are a great way to learn new things and explore the world around you. 

A library is a place where you can borrow books and other materials."
B2,A baby has arms and legs. It has a mouth and eyes.,"A baby has arms and legs. It has a mouth and eyes. With its tiny arms and hands, a baby can grasp small objects. The baby uses its legs to crawl around and explore the world. As it grows, the baby develops the ability to stand up, then walk, and eventually run. This is a natural progression, a part of life. 

The human brain is an amazing organ. It is responsible for our thoughts, emotions, and actions. It enables us to learn new things, form memories, and communicate with others. Our brain grows and changes throughout our lives, adapting to new experiences and challenges. 

Language is a powerful tool for communication. It allows us to express ideas, emotions, and needs. It connects us to others, allowing us to build relationships and understand different cultures. Learning a new language can be challenging, but it is a rewarding experience. It opens up new opportunities for travel, work, and personal growth. 

As we go through life, we encounter various situations that require us to make decisions. Some decisions are easy, while others are more complex."
C1,A baby has arms and legs. It has a mouth and eyes.,"A baby has arms and legs. It has a mouth and eyes. Its skin is soft and smooth. Newborn infants can't speak but they can communicate through crying and expressions. As they grow, they learn to make sounds, and eventually, they begin to form words. 

Reading is an essential skill that starts during early childhood. Parents often read stories aloud to their children to stimulate their imagination and expand their vocabulary. The child's brain develops neural connections with each new word they learn. Reading also helps them understand the world around them and improve their cognitive abilities. 

Traveling is an enriching experience that broadens our horizons and exposes us to new cultures and perspectives. It allows us to step out of our comfort zones, try new foods, and meet new people. Traveling can be a source of inspiration and creativity. Whether it is a short road trip to a nearby town or a long-distance journey to a foreign country, the experiences we have while traveling leave a lasting impact on our lives."
C2,A baby has arms and legs. It has a mouth and eyes.,"A baby has arms and legs. It has a mouth and eyes. Its skin is soft and smooth. The baby cries when it is hungry or tired. Sometimes, it makes gurgling noises as it explores the world around it. As it grows older, its motor skills develop, and it begins to crawl, then walk, then run. Its cognitive abilities expand, and it learns to communicate through words and gestures. It develops relationships with its family and caregivers, forming a bond that lasts a lifetime. 

Human beings are social animals by nature. Our need for connection and communication is deeply rooted in our biology. We are able to convey complex emotions and ideas through language, art, and music. Our capacity for empathy and understanding allows us to build meaningful relationships with others. We collaborate and cooperate to create communities and civilizations, and we strive to improve the world around us. 

Language is an essential tool for building relationships and communicating complex ideas. It allows us to connect with others across great distances and boundaries."
A1,Most people don't know that the full name of the Statue,"Most people don't know that the full name of the Statue of Liberty is ""Lady Liberty Enlightening the World."" This magnificent statue is a symbol of freedom and democracy, and it's located on Liberty Island in New York Harbor. It was a gift from the people of France to the United States in 1886. The statue is made of copper and it's over 150 feet tall, with its torch reaching even higher. 

Visitors can take a ferry to the island to see Lady Liberty up close. Once they get there, they can climb the steep stairs to the pedestal, where they can enjoy breathtaking views of New York City and the harbor. Some even choose to climb all the way to the crown, for a unique experience. 

Lady Liberty is a popular tourist attraction and a source of inspiration for many artists, writers, and photographers. It's also an important symbol for immigrants, as it welcomes them to the land of opportunity and freedom. When the sun sets, the torch of the Statue of Liberty is illuminated, making it a stunning sight to behold. If you have a chance, don't miss the opportunity to see this iconic symbol in person."
A2,Most people don't know that the full name of the Statue,"Most people don't know that the full name of the Statue of Liberty is ""Liberty Enlightening the World."" This iconic symbol of freedom was a gift from the people of France to the United States in 1886. It stands on Liberty Island in New York Harbor, welcoming millions of immigrants who came to America in search of a better life. 

The Statue of Liberty is made of copper and is covered in a green patina. She holds a torch in her right hand, representing enlightenment. In her left hand, she holds a tablet with the date of the American Declaration of Independence, July 4, 1776. At her feet, there is a broken chain, symbolizing the end of slavery. 

Visitors to the Statue of Liberty can climb the 354 steps to the top of the pedestal for a stunning view of Manhattan and the harbor. Every year, thousands of people visit the Statue of Liberty to pay tribute to its rich history and the freedom it represents. 

The Statue of Liberty is not only a symbol of freedom, but also a reminder of the importance of international friendship and cooperation."
B1,Most people don't know that the full name of the Statue,"Most people don't know that the full name of the Statue of Liberty is ""Lady Liberty Enlightening the World."" This iconic symbol of freedom, located in New York Harbor, is recognized worldwide. The statue was a gift from the people of France to the United States in 1886 to celebrate the centennial of American independence. 

The statue is made of copper, and it stands over 100 feet tall, including its pedestal. The statue represents Libertas, the Roman goddess of freedom. She holds a torch in her right hand, which symbolizes enlightenment. In her left hand, she holds a tablet inscribed with the date of the American Declaration of Independence, July 4, 1776. 

The pedestal on which the statue stands is designed as a stylized representation of a Roman lighthouse. At the base of the pedestal, there are four bronze relief panels, each depicting an important historical event: the arrival of Columbus in the New World, the signing of the Declaration of Independence, the surrender at Saratoga during the Revolutionary War, and Washington's inauguration."
B2,Most people don't know that the full name of the Statue,"Most people don't know that the full name of the Statue of Liberty is ""Liberty Enlightening the World."" This iconic symbol of freedom has been welcoming immigrants to the United States since its dedication in 1886. It stands tall on Liberty Island in the middle of New York Harbor, overlooking the bustling city of New York. 

The statue is made of copper and is over 151 feet tall, including its pedestal. It represents the Roman goddess Liberty holding a torch in her right hand and a tablet in her left, on which is inscribed the date of the American Declaration of Independence. The goddess wears a crown of seven spikes, representing the seven continents of the world, and her left foot is positioned above a broken chain. These symbols represent the ideas of freedom, enlightenment, and the breaking free from oppression. 

Visiting the Statue of Liberty is an experience that leaves a lasting impression on many people. The journey to the top of the pedestal, where you can gaze out at the stunning views of the harbor and the city, is a must-do for any traveler."
C1,Most people don't know that the full name of the Statue,"Most people don't know that the full name of the Statue of Liberty is ""Liberty Enlightening the World."" This iconic landmark, located in New York Harbor, is a symbol of freedom and democracy for millions of people around the world. It was a gift from the people of France to the United States, and was dedicated on October 28, 1886. 

The Statue of Liberty stands at an impressive height of 151 feet and 1 inch (46 meters), with the torch held in her right hand measuring an additional 37 feet (11 meters). The statue is made of copper, which has weathered to a beautiful green color over time. 

The statue is composed of thousands of individual pieces, which were assembled on site. The torch, the crown, and the tablet she holds in her left hand were all created in France, and were shipped to New York in thousands of individual pieces. Each piece had to be carefully numbered and fit together perfectly to complete the statue. 

The statue's base was designed by Richard Morris Hunt, who also oversaw the assembly of the statue on site."
C2,Most people don't know that the full name of the Statue,"Most people don't know that the full name of the Statue of Liberty is ""Liberty Enlightening the World."" This iconic symbol of freedom was a gift from the people of France, presented to the United States in 1886. It's located on Liberty Island in New York Harbor and is a must-see tourist destination. 

The Statue of Liberty stands tall, with its base measuring 154 feet from the waterline to the torch. The statue itself is 111 feet from the ground to the tip of the torch, making it over 300 feet from base to torch. The statue is depicted holding a torch in her right hand and a tablet in her left, inscribed with the date ""July IV MDCCLXXVI,"" which represents the American Declaration of Independence. 

The statue was designed by French sculptor Frédéric Auguste Bartholdi and built by Gustave Eiffel, who also designed the Eiffel Tower. The statue was a joint project between the United States and France and took nine years to construct. The statue was transported to New York in 350 separate parts, and it took 15 months to assemble them on the island."
